@relation 'twitter_spam_data'
@attribute LenghtOfProfileName NUMERIC
@attribute LenghtOfProfileDescription NUMERIC
@attribute NumberOfFollowings NUMERIC
@attribute NumberOfFollowers NUMERIC
@attribute NumberOfTweetsPost NUMERIC
@attribute AgeOfTheUserAccount NUMERIC
@attribute RatioOfNumberOfFollowingsAndFollowers NUMERIC
@attribute ReputationOfTheUser NUMERIC
@attribute FollowingRate NUMERIC
@attribute NumberOfWords NUMERIC
@attribute NumberOfCharacters NUMERIC
@attribute NumberOfCapitalizationCharacter NUMERIC
@attribute NumberOfCapitalizationWordPerWord NUMERIC
@attribute MaxWordLenght NUMERIC
@attribute MeanWordLenght NUMERIC
@attribute NumberOfExclamationMark NUMERIC
@attribute NumberOfQuestionMark NUMERIC
@attribute NumberOfURL NUMERIC
@attribute URLPerWord NUMERIC
@attribute NumberOfHashtag NUMERIC
@attribute HashtagPerWord NUMERIC
@attribute NumberOfMention NUMERIC
@attribute MentionPerWord NUMERIC
@attribute NumberOfSpamWord NUMERIC
@attribute SpamWordPerWord NUMERIC
@ATTRIBUTE class {spam,legitimate}
@data 
11,127,310,95,2132,1115,0.31,0.23,0.28,6,62,21,3.5,23,0,0,0,1,0.17,0,0.0,1,0.17,0,0.0,%%%%%%%%%RT @retromcallister: EAT MY NUTS TODD  https://t.co/8XIGdBLOxg
11,120,414,512,26428,1162,1.24,0.55,0.36,4,41,19,4.75,23,0,0,0,1,0.25,0,0.0,0,0.0,0,0.0,%%%%%%%%%WAIT DID YOU JUST https://t.co/OiV2eLKFa4
9,74,78,34,228,172,0.44,0.3,0.45,13,102,6,0.46,23,0,0,0,1,0.08,0,0.0,0,0.0,0,0.0,%%%%%%%%%Reaching a decision today is more complicated than you expect,... More for Leo https://t.co/5uKVcmbvkR
13,116,41,14,648,63,0.34,0.25,0.65,6,92,12,2.0,23,0,0,0,1,0.17,2,0.33,1,0.17,0,0.0,%%%%%%%%%RT @Asli_Jacqueline: In sync with my #Housefull3 boys 💃#TaangUthaKe https://t.co/YmyY9i561K
7,82,2266,624,30183,2466,0.28,0.22,0.92,8,72,3,0.38,12,0,0,0,0,0.0,0,0.0,3,0.38,0,0.0,%%%%%%%%%@Stanto68 @Oakland_1st @Raidersanz please tell me why it would be waived
10,51,14,17,649,665,1.21,0.55,0.02,12,116,9,0.75,23,0,0,0,1,0.08,2,0.17,0,0.0,0,0.0,%%%%%%%%%Learn the 5 main tools for #estateplanning in my short one minute video https://t.co/BQswGT0l8w #LegalMomentWithZane
12,92,39902,51550,68838,245,1.29,0.56,162.87,18,139,8,0.44,27,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Something has awakened inside of me weekend
I’ve no plan or agenda,extremely satisfied 
Hope not spoiled in the end
https://t.co/6G3NqWD4Ra
12,148,118,326,3987,311,2.76,0.73,0.38,5,73,11,2.2,23,0,1,0,1,0.2,1,0.2,1,0.2,0,0.0,%%%%%%%%%RT @onedirection: Weekend vibes = #OTRA memories! https://t.co/9ufwEbNIG5
9,82,209,574,17698,1764,2.75,0.73,0.12,16,72,3,0.19,9,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%Okay wish I didn't black out but I'm up and ready to go now soooo.... 😜
10,113,623,2121,9637,2188,3.4,0.77,0.28,23,140,16,0.7,10,0,0,0,0,0.0,0,0.0,1,0.04,0,0.0,%%%%%%%%%RT @obyezeks: A Government elected by Citizens to GOVERN but seemed to do BEST, corrupting the society. Seems no segment of nation was spar…
14,48,0,83,226164,167,2.147483647E9,0.0,0.0,19,139,29,1.53,23,0,1,0,1,0.05,0,0.0,0,0.0,0,0.0,%%%%%%%%%W66a White Pumpkin Car 3D DIY Cell Phone Iphone4 4/5S Case-Deco Den Kit - Bid Now! Only $0… https://t.co/VoJ2VAtU1O https://t.co/F7q02ytHBO
6,17,6882,35427,34442,2415,5.15,0.84,2.85,6,53,5,0.83,23,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,%%%%%%%%%I've been rapping since 2008. https://t.co/jJxzppVRJn
12,124,2900,1673,144,87,0.58,0.37,33.33,7,51,3,0.43,15,0,0,0,0,0.0,1,0.14,0,0.0,0,0.0,%%%%%%%%%Beware of the person of one #book.

–Thomas Aquinas
12,160,399,296,3239,65,0.74,0.43,6.14,7,133,20,2.86,23,0,4,0,0,0.0,4,0.57,0,0.0,0,0.0,%%%%%%%%%Vote Trump! America First! American Jobs! Jobs!
#Nebraska #NebraskaPrimary #WestVirginiaPrimary #WestVirginia https://t.co/YnmTIgSjH5
5,127,3245,1221,23020,2592,0.38,0.27,1.25,12,73,3,0.25,11,0,0,0,0,0.0,0,0.0,1,0.08,0,0.0,%%%%%%%%%RT @thebxy: I don't need to try and impress anyone that's not impressive.
7,4,191,17167,11672,419,89.88,0.99,0.46,6,103,19,3.17,23,0,0,0,1,0.17,0,0.0,2,0.33,0,0.0,%%%%%%%%%UgExtra Launches Music Awards. Read more@GMADoveAwards @talantacrew @MOBOAwards https://t.co/zH7qAwdzlI
12,24,97,21,194,842,0.22,0.18,0.12,2,34,4,2.0,23,0,0,0,1,0.5,0,0.0,0,0.0,0,0.0,%%%%%%%%%True broer https://t.co/aNbQb9g3Az
11,12,390,228,280,1566,0.58,0.37,0.25,17,113,6,0.35,24,0,0,20,0,0.0,0,0.0,1,0.06,0,0.0,%%%%%%%%%RT @NotesForGirlz: I still care about my grades but have no motivation to do any type of work????????????????????
14,17,946,1126,3235,2436,1.19,0.54,0.39,5,54,8,1.6,28,0,1,1,1,0.2,0,0.0,0,0.0,0,0.0,%%%%%%%%%Get Your Happy On? Here’s How!
https://t.co/zxxxA0xG4b
